Tаблица 1,,
Домашняя работа 1: Часть 1,Запишите в данный столбец окончательный ответ,Запишите в данный столбец ОБЪЯСНЕНИЕ
Ваша фамилия в именительном падеже:,Нгуен ,
Ваше имя в именительном падеже:,Хонг Хань,
Задайте перечислением множества,,
А - буквы фамилии,"{н,г,у,е}",
В - буквы имени,"{х,о,н,г,а,ь}",
Найдите А ∪ В,"{н,г,у,е,х,о,а,ь}",
Найдите А ⋂ В,"{н,г}",
Найдите А \ В,"{у,е}",
Найдите В \ А,"{х,о,а,ь}",
Найдите А Δ В,"{у,е,х,о,а,ь}",
Пусть I = А ∪ В - универсальное множество,,
Найдите ¬ (В \ А),"{н,y,е,г}",
"Верно ли, что А ⊆ В? Объясните",неверно,"Так как элементы у, е множества А не является элементами множеств В. "
Запишите множество P(А ⋂ В),"{∅,{н},{г},{н,г}}",
Найдите | P(А ⋂ В) |,4,
Сравните множества А и В по мощности,|A| < |B| (4 < 6),
